[10/15/20 08:47:25] [jarvis]   http get /status?_no_cache=1602748043947
[10/15/20 08:47:25] [hotword]  voice_activity_start
[10/15/20 08:47:27] [jarvis]   http get /status?_no_cache=1602748045952
[10/15/20 08:47:28] [hotword]  voice_activity_end
[10/15/20 08:47:29] [hotword]  voice_activity_start
[10/15/20 08:47:29] [jarvis]   http get /status?_no_cache=1602748047948
[10/15/20 08:47:30] [hotword]  voice_activity_end
[10/15/20 08:47:30] [hotword]  voice_activity_start
[10/15/20 08:47:31] [jarvis]   http get /status?_no_cache=1602748049950
[10/15/20 08:47:33] [jarvis]   http get /status?_no_cache=1602748051947
[10/15/20 08:47:35] [jarvis]   http get /status?_no_cache=1602748053950
[10/15/20 08:47:36] [hotword]  voice_activity_end
[10/15/20 08:47:37] [jarvis]   http get /status?_no_cache=1602748055952
[10/15/20 08:47:38] [hotword]  voice_activity_start
[10/15/20 08:47:39] [hotword]  voice_activity_end
[10/15/20 08:47:39] [jarvis]   http get /status?_no_cache=1602748057941
[10/15/20 08:47:40] [hotword]  voice_activity_start
[10/15/20 08:47:41] [jarvis]   http get /status?_no_cache=1602748059951
[10/15/20 08:47:42] [hotword]  voice_activity_end
[10/15/20 08:47:42] [hotword]  voice_activity_start
[10/15/20 08:47:43] [jarvis]   http get /status?_no_cache=1602748061952
[10/15/20 08:47:44] [hotword]  voice_activity_end
[10/15/20 08:47:44] [hotword]  voice_activity_start
[10/15/20 08:47:45] [jarvis]   http get /status?_no_cache=1602748063952
[10/15/20 08:47:46] [hotword]  voice_activity_end
[10/15/20 08:47:47] [jarvis]   http get /status?_no_cache=1602748065938
[10/15/20 08:47:48] [hotword]  voice_activity_start
[10/15/20 08:47:49] [jarvis]   http get /status?_no_cache=1602748067946
[10/15/20 08:47:51] [jarvis]   http get /status?_no_cache=1602748069944
[10/15/20 08:47:53] [jarvis]   http get /status?_no_cache=1602748071947
[10/15/20 08:47:54] [hotword]  voice_activity_end
[10/15/20 08:47:54] [hotword]  voice_activity_start
[10/15/20 08:47:55] [jarvis]   http get /status?_no_cache=1602748073952
[10/15/20 08:47:57] [jarvis]   http get /status?_no_cache=1602748075941
[10/15/20 08:47:59] [jarvis]   http get /status?_no_cache=1602748077952
[10/15/20 08:48:01] [jarvis]   http get /status?_no_cache=1602748079952
[10/15/20 08:48:03] [jarvis]   http get /status?_no_cache=1602748081951
[10/15/20 08:48:03] [hotword]  voice_activity_end
[10/15/20 08:48:05] [jarvis]   http get /status?_no_cache=1602748083949
[10/15/20 08:48:07] [hotword]  voice_activity_start
[10/15/20 08:48:07] [jarvis]   http get /status?_no_cache=1602748085941
[10/15/20 08:48:09] [jarvis]   http get /status?_no_cache=1602748087940
[10/15/20 08:48:10] [hotword]  voice_activity_end
[10/15/20 08:48:10] [hotword]  voice_activity_start
[10/15/20 08:48:11] [jarvis]   http get /status?_no_cache=1602748089955
[10/15/20 08:48:13] [jarvis]   http get /status?_no_cache=1602748091942
[10/15/20 08:48:15] [jarvis]   http get /status?_no_cache=1602748093942
[10/15/20 08:48:15] [hotword]  voice_activity_end
[10/15/20 08:48:15] [hotword]  voice_activity_start
[10/15/20 08:48:17] [jarvis]   http get /status?_no_cache=1602748095938
[10/15/20 08:48:18] [hotword]  voice_activity_end
[10/15/20 08:48:19] [jarvis]   http get /status?_no_cache=1602748097940
[10/15/20 08:48:20] [hotword]  voice_activity_start
[10/15/20 08:48:21] [jarvis]   http get /status?_no_cache=1602748099940
[10/15/20 08:48:23] [jarvis]   http get /status?_no_cache=1602748101950
[10/15/20 08:48:25] [jarvis]   http get /status?_no_cache=1602748103951
